: 0.0000000000000000002692958335139678078838729681290658002, 00000000 00000000 01100011 11011111
: -0.0000000000000000008706550168787307503469727806287228624, 11111111 11111111 01111111 11100001
: 0.0000000000000000003949912280035820668088033327110034642, 00000000 00000000 01101101 00100101
: 0.0000000000000000000288967398485926909910347189788934515, 00000000 00000000 00111000 10000111
: -0.0000000000000000004421238817864739144287660175060668738, 11111111 11111111 10001111 10110000
: 0.0000000000000000001280096876388187207017355388442799733, 00000000 00000000 01010010 11100100
: -0.0000000000000000009729053330873165857652582324037513876, 11111111 11111111 01111100 00011011
: 0.0000000000000000011740014581373362578748504380913230774, 00000000 00000000 10001011 01010000
: -0.0000000000000000007818066957737850856388849629595452075, 11111111 11111111 10000011 00101000
: 0.0000000000000000007818178202344628403488559458417697525, 00000000 00000000 01111100 11011000
: 0.0000000000000000001249105149190482601500213063050737539, 00000000 00000000 01010010 01101111
: 0.0000000000000000002390700653284634913121423532394206324, 00000000 00000000 01100001 10100100
: 0.0000000000000000010176533524486663452715419490567290123, 00000000 00000000 10000101 10001011
: -0.0000000000000000013261543161712671536964420514891093395, 11111111 11111111 01101111 00010011
: -0.0000000000000000000652958222088277584869751172598812690, 11111111 11111111 10111100 10111010
: -0.0000000000000000002580603151363323328763732314110337424, 11111111 11111111 10011100 11110101
: -0.0000000000000000010928881230091230729323383665131239572, 11111111 11111111 01110111 10101110
: -0.0000000000000000009355312051306250764724112178256916712, 11111111 11111111 01111101 01111100
: 0.0000000000000000013010427685543614928415403480100059174, 00000000 00000000 10010000 00000000
: -0.0000000000000000004760832586774444435623737501674697360, 11111111 11111111 10001110 01110000
: 0.0000000000000000002253242854444938107129684346802147015, 00000000 00000000 01100000 10100000
: 0.0000000000000000004400990548895043292909763104221689763, 00000000 00000000 01110000 00111101
: 0.0000000000000000004838559385307746739478099726300547013, 00000000 00000000 01110001 11011010
: -0.0000000000000000008929628588022518245356030868334596512, 11111111 11111111 01111111 00001110
: -0.0000000000000000007223787812057536001434408992234634450, 11111111 11111111 10000101 01011001
: -0.0000000000000000011380400757613837350260131756706817388, 11111111 11111111 01110110 00000100
: -0.0000000000000000007803582865047538713404858389550682488, 11111111 11111111 10000011 00110110
: 0.0000000000000000004387740522557062769101335804973659549, 00000000 00000000 01110000 00110000
: 0.0000000000000000004192736660801035539453532179871541321, 00000000 00000000 01101110 11110000
: -0.0000000000000000001357129123010352704593128027489292755, 11111111 11111111 10101011 11111001
: 0.0000000000000000008914734130846482869916737761790089937, 00000000 00000000 10000000 11100100
: -0.0000000000000000011873877992253395152843679263871589668, 11111111 11111111 01110100 00110001
: 0.0000000000000000006338810647423558565290066102211941908, 00000000 00000000 01110111 01100011
: 0.0000000000000000008416787524858581475241764566379638871, 00000000 00000000 01111111 00001101
: 0.0000000000000000002511400937787560410736788138957892069, 00000000 00000000 01100010 10001000
: 0.0000000000000000011027507154490141923229951768661028361, 00000000 00000000 10001000 10101111
: -0.0000000000000000012667855616529967058760288860083849716, 11111111 11111111 01110001 01000100
: -0.0000000000000000003261104019857662666533974523128871983, 11111111 11111111 10010111 11110000
: -0.0000000000000000000699382336192756836342254749481169804, 11111111 11111111 10111011 01011100
: -0.0000000000000000001209813906922308735452800068326215057, 11111111 11111111 10101110 00100101
: 0.0000000000000000004404944632094144781390106897492963123, 00000000 00000000 01110000 01000000
: 0.0000000000000000001841921120550640460926370730869494859, 00000000 00000000 01011011 00101111
: 0.0000000000000000008920647195405111295261050198499565239, 00000000 00000000 10000000 11101001
: -0.0000000000000000012322017968737846835773073959708620714, 11111111 11111111 01110010 10001010
: -0.0000000000000000005222158792661657982019618490930612895, 11111111 11111111 10001100 10111100
: 0.0000000000000000004706953581744360884204386483674392946, 00000000 00000000 01110001 01011110
: -0.0000000000000000004854678231310405163716013344573669378, 11111111 11111111 10001110 00010111
: 0.0000000000000000009854251602306744300673311062645986544, 00000000 00000000 10000100 01011011
: 0.0000000000000000011539003899220721695680757850008497147, 00000000 00000000 10001010 10010010
: -0.0000000000000000006031888834445472531785267263998395288, 11111111 11111111 10001001 10111111
: 0.0000000000000000003543146527759146729630710411978238537, 00000000 00000000 01101010 00100101
: -0.0000000000000000003089350422385616619899318842665398889, 11111111 11111111 10011001 00110100
: 0.0000000000000000001212350409576784545529941345976524547, 00000000 00000000 01010001 11100100
: -0.0000000000000000003203146493962494999702935902773395337, 11111111 11111111 10011000 01011101
: 0.0000000000000000010306698424010692981049766693827327996, 00000000 00000000 10000110 00000110
: -0.0000000000000000008275387222958030893921163135622725438, 11111111 11111111 10000001 01111000
: 0.0000000000000000000591174864419414778617753426859638605, 00000000 00000000 01000001 01110011
: -0.0000000000000000006964764990263465259093852356775827384, 11111111 11111111 10000110 01001110
: -0.0000000000000000003487627350855760823439366640571229023, 11111111 11111111 10010110 01000100
: -0.0000000000000000005581842607826293770668260595986544317, 11111111 11111111 10001011 01101000
: -0.0000000000000000011285576647194075320949617949593490238, 11111111 11111111 01110110 01011101
: -0.0000000000000000000388923713362078507858551458077476531, 11111111 11111111 11000100 10000101
: 0.0000000000000000001236296552853514533486045032187927361, 00000000 00000000 01010010 00111111
: -0.0000000000000000005072865775511438646528499412942186300, 11111111 11111111 10001101 01001001
: 0.0000000000000000001081512562748020983980407140831524656, 00000000 00000000 01001111 11101100
: 0.0000000000000000009992009582773666060406742274683537458, 00000000 00000000 10000100 11011101
: 0.0000000000000000008982305988934616994736325260884223527, 00000000 00000000 10000001 00100100
: 0.0000000000000000000534109708566605875521034714265334107, 00000000 00000000 00111111 11000100
: -0.0000000000000000007946071868674081351290903330658407156, 11111111 11111111 10000010 10101111
: -0.0000000000000000008885373355588278816323152212799311433, 11111111 11111111 01111111 00111000
: 0.0000000000000000010911100048316760211806010576117518350, 00000000 00000000 10001000 01000001
: 0.0000000000000000009512318818170174253286508101335832060, 00000000 00000000 10000011 00011000
: -0.0000000000000000012444608921486412694343672349603337124, 11111111 11111111 01110010 00010110
: 0.0000000000000000002840352109278835693489312268398117226, 00000000 00000000 01100100 11110101
: -0.0000000000000000007559785718946587574276378813193777807, 11111111 11111111 10000100 00011100
: 0.0000000000000000011258746506971815228490977567470154553, 00000000 00000000 10001001 10001010
: -0.0000000000000000006727548233234675414738116296316653985, 11111111 11111111 10000111 00101110
: 0.0000000000000000011016870187982328464073555473785224566, 00000000 00000000 10001000 10100101
: -0.0000000000000000011179057758450998228699928958899007212, 11111111 11111111 01110110 11000010
: -0.0000000000000000012362004890035699542196669942895906355, 11111111 11111111 01110010 01100100
: -0.0000000000000000000228563969569811078430342977448116315, 11111111 11111111 11001010 10000010
: -0.0000000000000000011763256242266498230358317303935919522, 11111111 11111111 01110100 10011010
: -0.0000000000000000011280976672335288114381357646635045642, 11111111 11111111 01110110 01100001
: -0.0000000000000000005874658655479683523684933117258964835, 11111111 11111111 10001010 01010100
: -0.0000000000000000011437485839781835634783412562050361551, 11111111 11111111 01110101 11001110
: 0.0000000000000000000676700393775921879921752860334671573, 00000000 00000000 01000011 11111001
: -0.0000000000000000000160461735780107938963846850916774915, 11111111 11111111 11001110 10000111
: 0.0000000000000000012563879979936179886498499025111923161, 00000000 00000000 10001110 01011010
: 0.0000000000000000011638203208570958671023655254848672068, 00000000 00000000 10001010 11110000
: -0.0000000000000000001036081606005789534866354811957801015, 11111111 11111111 10110001 01101100
: -0.0000000000000000003378897106126533506008910345223215965, 11111111 11111111 10010111 00010001
: -0.0000000000000000012813696600706854468207039269212103147, 11111111 11111111 01110000 10111010
: 0.0000000000000000010943566823931644724133687579190084775, 00000000 00000000 10001000 01100000
: 0.0000000000000000002114092205490804601303970021320268527, 00000000 00000000 01011111 00110011
: -0.0000000000000000001545589104128731278475807112155779588, 11111111 11111111 10101001 00110001
: 0.0000000000000000001758951542480800530113861005359330076, 00000000 00000000 01011001 11110101
: -0.0000000000000000009600749479515043152364300454998923512, 11111111 11111111 01111100 10010100
: 0.0000000000000000012521903624454208735044118088056879082, 00000000 00000000 10001110 00110011
: -0.0000000000000000001423405200295459218577676209823485265, 11111111 11111111 10101010 11111111
: 0.0000000000000000004474921274594355727194832656179180579, 00000000 00000000 01110000 10000010
: 270.7822628975227416958659887313842773437500000000000000000, 01110000 00011101 10010000 10000101
: 3440.5397584748461667913943529129028320312500000000000000000, 01110111 01011100 00100010 10001011
: -11403.6052238920401578070595860481262207031250000000000000000, 10000110 10011011 10100011 00101001
: -3589.3223424775187595514580607414245605468750000000000000000, 10001000 01111110 10101011 01011111
: 2811.9745690298368572257459163665771484375000000000000000000, 01110110 10111110 11111110 01011111
: 2396.0536605439356208080425858497619628906250000000000000000, 01110110 01010111 00000011 01101111
: 430.2809431378136650891974568367004394531250000000000000000, 01110001 01011100 10001111 11011000
: -9050.4359359243189828703179955482482910156250000000000000000, 10000110 11100101 00101100 10000011
: -4912.0991502892575226724147796630859375000000000000000000000, 10000111 11001100 11111110 01101010
: 11617.7120096446633397135883569717407226562500000000000000000, 01111001 01101011 00001101 10110010
: 9055.5811945799505338072776794433593750000000000000000000000, 01111001 00011010 11111100 10100110
: -8871.5742560522594430949538946151733398437500000000000000000, 10000110 11101010 11000011 01101000
: 6425.0595279977351310662925243377685546875000000000000000000, 01111000 10010001 10010000 11110100
: 3084.8935579160752240568399429321289062500000000000000000000, 01110111 00000011 00111001 00110000
: -1376.3435855724874272709712386131286621093750000000000000000, 10001011 01001111 11010100 00000101
: -4242.6662415228784084320068359375000000000000000000000000000, 10000111 11110110 11010101 01010111
: 6671.8084291331688291393220424652099609375000000000000000000, 01111000 10100000 11111100 11101111
: -1044.4691605422576685668900609016418457031250000000000000000, 10001011 11110101 11000011 11110011
: 8586.6987673939765954855829477310180664062500000000000000000, 01111001 00001100 01010101 10010111
: 13266.7602002991516201291233301162719726562500000000000000000, 01111001 10011110 10010110 00010101
: -9674.1914296568793361075222492218017578125000000000000000000, 10000110 11010001 10101110 01111000
: 5165.1667886855757387820631265640258789062500000000000000000, 01111000 01000010 11010010 10101011
: -12853.2634637544124416308477520942687988281250000000000000000, 10000110 01101110 01010101 11100100
: 8209.1038407382366131059825420379638671875000000000000000000, 01111001 00000000 10001000 11010101
: 5414.9651652845386706758290529251098632812500000000000000000, 01111000 01010010 01101111 01110001
: 1176.5642297326776315458118915557861328125000000000000000000, 01110100 01001100 01001000 00111001
: 3593.4477474548912141472101211547851562500000000000000000000, 01110111 10000010 01011100 10101000
: 2148.7188675783636426785960793495178222656250000000000000000, 01110110 00011001 00101110 00000010
: 4547.5473588858658331446349620819091796875000000000000000000, 01111000 00011100 00111000 11000010
: 5763.3512633178397663868963718414306640625000000000000000000, 01111000 01101000 00110101 10011111
: -1339.2085711163690575631335377693176269531250000000000000000, 10001011 01100010 01100101 01001110
: 10438.6395375705033075064420700073242187500000000000000000000, 01111001 01000110 00110101 00011110
: 7012.4683641547344450373202562332153320312500000000000000000, 01111000 10110110 01000111 01111110
: 1044.4285114969534333795309066772460937500000000000000000000, 01110100 00001010 00110110 11011001
: 2705.4561579697492561535909771919250488281250000000000000000, 01110110 10100100 01011101 00110010
: -8773.5637538346854853443801403045654296875000000000000000000, 10000110 11101101 11010011 01111101
: -1101.2116726434105657972395420074462890625000000000000000000, 10001011 11011001 01100100 11101000
: 11988.2144315222976729273796081542968750000000000000000000000, 01111001 01110110 10100001 10110111
: -6495.3526321663030103081837296485900878906250000000000000000, 10000111 01101010 00001010 01011100
: 12934.7904838519243639893829822540283203125000000000000000000, 01111001 10010100 00110110 01010011
: 9717.9173968543291266541928052902221679687500000000000000000, 01111001 00101111 10101111 01010111
: 250.9425292907035327516496181488037109375000000000000000000, 01101111 11010111 10001010 01001101
: -10449.5700545646686805412173271179199218750000000000000000000, 10000110 10111001 01110011 01110001
: -10378.2614086662688350770622491836547851562500000000000000000, 10000110 10111011 10101101 11101001
: -12561.3095495206925988895818591117858886718750000000000000000, 10000110 01110111 01110101 10000110
: 563.7459738636734982719644904136657714843750000000000000000, 01110010 00110011 10111110 11111000
: 5240.9162476008568773977458477020263671875000000000000000000, 01111000 01000111 10001110 10101001
: 2645.4934241577429929748177528381347656250000000000000000000, 01110110 10010101 01011111 10010100
: 3458.8777144558844156563282012939453125000000000000000000000, 01110111 01100000 10111000 00101100
: 5026.5371609064241056330502033233642578125000000000000000000, 01111000 00111010 00101000 10011000
: 4448.0958137689704017248004674911499023437500000000000000000, 01111000 00010110 00000001 10001000
: 10462.7719555850417236797511577606201171875000000000000000000, 01111001 01000110 11110110 00101101
: 6878.6144633150179288350045680999755859375000000000000000000, 01111000 10101101 11101001 11010101
: -3374.5665332190055778482928872108459472656250000000000000000, 10001000 10110100 01011011 10111110
: 13212.1434055196841654833406209945678710937500000000000000000, 01111001 10011100 11100001 00100110
: -6563.9463691663640929618850350379943847656250000000000000000, 10000111 01100101 11000000 11011100
: 4050.7226107431924901902675628662109375000000000000000000000, 01110111 11110100 10101110 00111111
: 7088.2939149493140575941652059555053710937500000000000000000, 01111000 10111011 00000100 10110100
: -12581.2936022444173431722447276115417480468750000000000000000, 10000110 01110110 11010101 10100111
: -1270.4366850863589206710457801818847656250000000000000000000, 10001011 10000100 11001000 00011011
: -13223.2152076324946392560377717018127441406250000000000000000, 10000110 01100010 11000110 01000111
: -8813.0593556464045832399278879165649414062500000000000000000, 10000110 11101100 10010111 10000110
: -10834.2626798232322471449151635169982910156250000000000000000, 10000110 10101101 01101101 11100110
: 5027.0456055651484348345547914505004882812500000000000000000, 01111000 00111010 00110000 10111011
: -12492.7073518419892934616655111312866210937500000000000000000, 10000110 01111001 10011010 01010111
: 1701.1360938520392664941027760505676269531250000000000000000, 01110101 01010010 10010001 01101100
: 2534.3129806979686691192910075187683105468750000000000000000, 01110110 01111001 10010100 00001000
: -2339.8794455367533373646438121795654296875000000000000000000, 10001001 10110111 00000111 10110111
: -6099.6540026055608905153349041938781738281250000000000000000, 10000111 10000010 11000101 10001001
: -6477.7452015970702632330358028411865234375000000000000000000, 10000111 01101011 00100100 00010100
: 7136.1345888621726771816611289978027343750000000000000000000, 01111000 10111110 00000010 00100111
: 10640.3520889555402391124516725540161132812500000000000000000, 01111001 01001100 10000010 11010001
: -12710.3675663113790506031364202499389648437500000000000000000, 10000110 01110010 11001101 00001111
: -8182.0300762595861669979058206081390380859375000000000000000, 10000111 00000000 10011111 10000101
: 3968.2842987855583487544208765029907226562500000000000000000, 01110111 11100000 00010010 00110010
: 6009.4072865661910327617079019546508789062500000000000000000, 01111000 01110111 10010110 10000100
: -926.7639706122590723680332303047180175781250000000000000000, 10001100 01100001 00111100 01101100
: 6771.0598001815706084016710519790649414062500000000000000000, 01111000 10100111 00110000 11110101
: 49.7449272318754083244130015373229980468750000000000000000, 01100110 00110111 11010110 01110010
: -6142.3258572452277803677134215831756591796875000000000000000, 10000111 10000000 00011010 11001001
: 11135.6536590962568880058825016021728515625000000000000000000, 01111001 01011011 11111101 00111011
: 7196.5979193449747981503605842590332031250000000000000000000, 01111000 11000001 11001001 10010001
: -2438.7669115124062955146655440330505371093750000000000000000, 10001001 10011110 01001110 11101011
: 4740.9629553679551463574171066284179687500000000000000000000, 01111000 00101000 01001111 01101000
: -201.5148599346612172666937112808227539062500000000000000000, 10010001 10110011 11100001 10010001
: 3998.7156542191660264506936073303222656250000000000000000000, 01110111 11100111 10101101 11001101
: 3518.9115911498010973446071147918701171875000000000000000000, 01110111 01101111 10111010 01011000
: 4006.4560310263586870860308408737182617187500000000000000000, 01110111 11101001 10011101 00110000
: -942.6298865484368434408679604530334472656250000000000000000, 10001100 01010001 01011110 11000000
: 4240.2389501220968668349087238311767578125000000000000000000, 01111000 00001001 00000011 11010011
: 9074.3246275673482159618288278579711914062500000000000000000, 01111001 00011011 10010010 10011001
: 1120.2264020751990756252780556678771972656250000000000000000, 01110100 00110000 00011100 11111011
: -76.5933564901170029770582914352416992187500000000000000000, 10010111 00110110 10000001 10011101
: -4958.1690530855394172249361872673034667968750000000000000000, 10000111 11001010 00011101 01001100
: 1979.4935530572365678381174802780151367187500000000000000000, 01110101 11011101 10111111 00101101
: -1736.5113866631581913679838180541992187500000000000000000000, 10001010 10011011 10111110 10001011
: -8956.6932060570416069822385907173156738281250000000000000000, 10000110 11101000 00011010 01110100
: -11116.1206280229816911742091178894042968750000000000000000000, 10000110 10100100 10011111 00001001
: 6502.7310270193047472275793552398681640625000000000000000000, 01111000 10010110 01101011 10110010
: 11098.0426904262640164233744144439697265625000000000000000000, 01111001 01011010 11010000 01010111
: -0.0000000000000000000000000000000000000000001193168677685, 11111111 11111111 11111111 11111111
: 0.0000000000000000000000000000000000000000000878594651018, 00000000 00000000 00000000 00000001
: 0.0000000000000000000000000000000000000000000140521887649, 00000000 00000000 00000000 00000001
: 0.0000000000000000000000000000000000000000001329196149157, 00000000 00000000 00000000 00000001
: -0.0000000000000000000000000000000000000000001188577063357, 11111111 11111111 11111111 11111111
: -0.0000000000000000000000000000000000000000000578454849218, 11111111 11111111 11111111 11111111
: -0.0000000000000000000000000000000000000000000596351131058, 11111111 11111111 11111111 11111111
: 0.0000000000000000000000000000000000000000000913866099652, 00000000 00000000 00000000 00000001
: -0.0000000000000000000000000000000000000000000569202289107, 11111111 11111111 11111111 11111111
: 0.0000000000000000000000000000000000000000001001318247937, 00000000 00000000 00000000 00000001
: 0.0000000000000000000000000000000000000000000723528256329, 00000000 00000000 00000000 00000001
: 0.0000000000000000000000000000000000000000001317315717937, 00000000 00000000 00000000 00000001
: -0.0000000000000000000000000000000000000000001021991317323, 11111111 11111111 11111111 11111111
: -0.0000000000000000000000000000000000000000000106506887642, 11111111 11111111 11111111 11111111
: 0.0000000000000000000000000000000000000000000797021442951, 00000000 00000000 00000000 00000001
: 0.0000000000000000000000000000000000000000000155484926561, 00000000 00000000 00000000 00000001
: 0.0000000000000000000000000000000000000000000154648891797, 00000000 00000000 00000000 00000001
: 0.0000000000000000000000000000000000000000000970782626958, 00000000 00000000 00000000 00000001
: -0.0000000000000000000000000000000000000000001220637083672, 11111111 11111111 11111111 11111111
: -0.0000000000000000000000000000000000000000001062980259835, 11111111 11111111 11111111 11111111
: -0.0000000000000000000000000000000000000000001324670276711, 11111111 11111111 11111111 11111111
: -0.0000000000000000000000000000000000000000000897743078125, 11111111 11111111 11111111 11111111
: -0.0000000000000000000000000000000000000000001214708705669, 11111111 11111111 11111111 11111111
: 0.0000000000000000000000000000000000000000000075006310395, 00000000 00000000 00000000 00000001
: -0.0000000000000000000000000000000000000000000470006289258, 11111111 11111111 11111111 11111111
: -0.0000000000000000000000000000000000000000000220443988445, 11111111 11111111 11111111 11111111
: -0.0000000000000000000000000000000000000000001023491679253, 11111111 11111111 11111111 11111111
: -0.0000000000000000000000000000000000000000000001395035208, 11111111 11111111 11111111 11111111
: 0.0000000000000000000000000000000000000000000070452806868, 00000000 00000000 00000000 00000001
: 0.0000000000000000000000000000000000000000001048563161421, 00000000 00000000 00000000 00000001
: 0.0000000000000000000000000000000000000000001284128674371, 00000000 00000000 00000000 00000001
: 0.0000000000000000000000000000000000000000001299818482613, 00000000 00000000 00000000 00000001
: 0.0000000000000000000000000000000000000000001057008931541, 00000000 00000000 00000000 00000001
: 0.0000000000000000000000000000000000000000000342915943668, 00000000 00000000 00000000 00000001
: -0.0000000000000000000000000000000000000000000581154583834, 11111111 11111111 11111111 11111111
: 0.0000000000000000000000000000000000000000000029810486596, 00000000 00000000 00000000 00000001
